time(ms)	collision count
0,001050000	11,000000000
0,001050320	11,000000000
0,001050640	10,000000000
0,001050960	10,000000000
0,001051280	10,000000000
0,001051600	10,000000000
0,001051920	11,000000000
0,001052240	11,000000000
0,001052560	12,000000000
0,001052880	11,000000000
0,001053200	10,000000000
0,001053520	11,000000000
0,001053840	10,000000000
0,001054160	11,000000000
0,001054480	13,000000000
0,001054800	15,000000000
0,001055120	16,000000000
0,001055440	15,000000000
0,001055760	15,000000000
0,001056080	14,000000000
0,001056400	12,000000000
0,001056720	14,000000000
0,001057040	13,000000000
0,001057360	13,000000000
0,001057680	11,000000000
0,001058000	12,000000000
0,001058320	13,000000000
0,001058640	17,000000000
0,001058960	19,000000000
0,001059280	19,000000000
0,001059600	17,000000000
0,001059920	17,000000000
0,001060240	17,000000000
0,001060560	19,000000000
0,001060880	19,000000000
0,001061200	17,000000000
0,001061520	16,000000000
0,001061840	17,000000000
0,001062160	18,000000000
0,001062480	15,000000000
0,001062800	16,000000000
0,001063120	15,000000000
0,001063440	16,000000000
0,001063760	19,000000000
0,001064080	18,000000000
0,001064400	17,000000000
0,001064720	20,000000000
0,001065040	17,000000000
0,001065360	17,000000000
0,001065680	16,000000000
0,001066000	15,000000000
0,001066320	16,000000000
0,001066640	16,000000000
0,001066960	16,000000000
0,001067280	13,000000000
0,001067600	15,000000000
0,001067920	15,000000000
0,001068240	14,000000000
0,001068560	10,000000000
0,001068880	9,000000000
0,001069200	11,000000000
0,001069520	10,000000000
0,001069840	12,000000000
0,001070160	12,000000000
0,001070480	11,000000000
0,001070800	10,000000000
0,001071120	12,000000000
0,001071440	12,000000000
0,001071760	13,000000000
0,001072080	13,000000000
0,001072400	13,000000000
0,001072720	12,000000000
0,001073040	13,000000000
0,001073360	13,000000000
0,001073680	11,000000000
0,001074000	12,000000000
0,001074320	13,000000000
0,001074640	12,000000000
0,001074960	13,000000000
0,001075280	14,000000000
0,001075600	14,000000000
0,001075920	14,000000000
0,001076240	13,000000000
0,001076560	15,000000000
0,001076880	12,000000000
0,001077200	12,000000000
0,001077520	13,000000000
0,001077840	13,000000000
0,001078160	14,000000000
0,001078480	16,000000000
0,001078800	17,000000000
0,001079120	14,000000000
0,001079440	14,000000000
0,001079760	15,000000000
0,001080080	15,000000000
0,001080400	15,000000000
0,001080720	14,000000000
0,001081040	17,000000000
0,001081360	16,000000000
0,001081680	16,000000000
0,001082000	16,000000000
0,001082320	15,000000000
0,001082640	16,000000000
0,001082960	15,000000000
0,001083280	15,000000000
0,001083600	15,000000000
0,001083920	16,000000000
0,001084240	12,000000000
0,001084560	10,000000000
0,001084880	12,000000000
0,001085200	9,000000000
0,001085520	9,000000000
0,001085840	8,000000000
0,001086160	10,000000000
0,001086480	10,000000000
0,001086800	10,000000000
0,001087120	10,000000000
0,001087440	13,000000000
0,001087760	12,000000000
0,001088080	15,000000000
0,001088400	17,000000000
0,001088720	16,000000000
0,001089040	16,000000000
0,001089360	19,000000000
0,001089680	18,000000000
0,001090000	19,000000000
0,001090320	20,000000000
0,001090640	23,000000000
0,001090960	23,000000000
0,001091280	23,000000000
0,001091600	23,000000000
0,001091920	19,000000000
0,001092240	23,000000000
0,001092560	21,000000000
0,001092880	21,000000000
0,001093200	19,000000000
0,001093520	19,000000000
0,001093840	17,000000000
0,001094160	13,000000000
0,001094480	13,000000000
0,001094800	13,000000000
0,001095120	11,000000000
0,001095440	8,000000000
0,001095760	11,000000000
0,001096080	10,000000000
0,001096400	11,000000000
0,001096720	13,000000000
0,001097040	13,000000000
0,001097360	13,000000000
0,001097680	13,000000000
0,001098000	12,000000000
0,001098320	12,000000000
0,001098640	13,000000000
0,001098960	13,000000000
0,001099280	12,000000000
0,001099600	12,000000000
0,001099920	12,000000000
0,001100240	12,000000000
0,001100560	11,000000000
0,001100880	11,000000000
0,001101200	11,000000000
0,001101520	10,000000000
0,001101840	9,000000000
0,001102160	11,000000000
0,001102480	12,000000000
0,001102800	12,000000000
0,001103120	11,000000000
0,001103440	11,000000000
0,001103760	12,000000000
0,001104080	12,000000000
0,001104400	12,000000000
0,001104720	11,000000000
0,001105040	10,000000000
0,001105360	11,000000000
0,001105680	10,000000000
0,001106000	9,000000000
0,001106320	8,000000000
0,001106640	7,000000000
0,001106960	6,000000000
0,001107280	6,000000000
0,001107600	7,000000000
0,001107920	8,000000000
0,001108240	9,000000000
0,001108560	10,000000000
0,001108880	14,000000000
0,001109200	16,000000000
0,001109520	16,000000000
0,001109840	15,000000000
0,001110160	17,000000000
0,001110480	20,000000000
0,001110800	22,000000000
0,001111120	21,000000000
0,001111440	26,000000000
0,001111760	27,000000000
0,001112080	28,000000000
0,001112400	30,000000000
0,001112720	29,000000000
0,001113040	29,000000000
0,001113360	28,000000000
0,001113680	30,000000000
0,001114000	28,000000000
0,001114320	27,000000000
0,001114640	29,000000000
0,001114960	29,000000000
0,001115280	31,000000000
0,001115600	36,000000000
0,001115920	35,000000000
0,001116240	35,000000000
0,001116560	26,000000000
0,001116880	26,000000000
0,001117200	24,000000000
0,001117520	27,000000000
0,001117840	29,000000000
0,001118160	28,000000000
0,001118480	27,000000000
0,001118800	21,000000000
0,001119120	21,000000000
0,001119440	20,000000000
0,001119760	18,000000000
0,001120080	17,000000000
0,001120400	17,000000000
0,001120720	16,000000000
0,001121040	16,000000000
0,001121360	17,000000000
0,001121680	16,000000000
0,001122000	13,000000000
0,001122320	11,000000000
0,001122640	9,000000000
0,001122960	10,000000000
0,001123280	12,000000000
0,001123600	11,000000000
0,001123920	12,000000000
0,001124240	13,000000000
0,001124560	12,000000000
0,001124880	11,000000000
0,001125200	14,000000000
0,001125520	15,000000000
0,001125840	15,000000000
0,001126160	15,000000000
0,001126480	14,000000000
0,001126800	16,000000000
0,001127120	15,000000000
0,001127440	15,000000000
0,001127760	15,000000000
0,001128080	17,000000000
0,001128400	15,000000000
0,001128720	16,000000000
0,001129040	12,000000000
0,001129360	13,000000000
0,001129680	13,000000000
0,001130000	12,000000000
0,001130320	11,000000000
0,001130640	9,000000000
0,001130960	10,000000000
0,001131280	11,000000000
0,001131600	13,000000000
0,001131920	13,000000000
0,001132240	14,000000000
0,001132560	14,000000000
0,001132880	15,000000000
0,001133200	16,000000000
0,001133520	14,000000000
0,001133840	16,000000000
0,001134160	16,000000000
0,001134480	17,000000000
0,001134800	16,000000000
0,001135120	16,000000000
0,001135440	16,000000000
0,001135760	17,000000000
0,001136080	15,000000000
0,001136400	11,000000000
0,001136720	13,000000000
0,001137040	13,000000000
0,001137360	16,000000000
0,001137680	16,000000000
0,001138000	14,000000000
0,001138320	14,000000000
0,001138640	12,000000000
0,001138960	10,000000000
0,001139280	11,000000000
0,001139600	9,000000000
0,001139920	9,000000000
0,001140240	10,000000000
0,001140560	11,000000000
0,001140880	12,000000000
0,001141200	10,000000000
0,001141520	11,000000000
0,001141840	12,000000000
0,001142160	13,000000000
0,001142480	12,000000000
0,001142800	13,000000000
0,001143120	13,000000000
0,001143440	11,000000000
0,001143760	16,000000000
0,001144080	16,000000000
0,001144400	17,000000000
0,001144720	22,000000000
0,001145040	23,000000000
0,001145360	26,000000000
0,001145680	29,000000000
0,001146000	33,000000000
0,001146320	36,000000000
0,001146640	37,000000000
0,001146960	45,000000000
0,001147280	48,000000000
0,001147600	49,000000000
0,001147920	49,000000000
0,001148240	50,000000000
0,001148560	49,000000000
0,001148880	49,000000000
0,001149200	44,000000000
0,001149520	41,000000000
0,001149840	38,000000000
0,001150160	39,000000000
0,001150480	37,000000000
0,001150800	34,000000000
0,001151120	34,000000000
0,001151440	27,000000000
0,001151760	27,000000000
0,001152080	28,000000000
0,001152400	28,000000000
0,001152720	31,000000000
0,001153040	28,000000000
0,001153360	31,000000000
0,001153680	27,000000000
0,001154000	32,000000000
0,001154320	30,000000000
0,001154640	32,000000000
0,001154960	30,000000000
0,001155280	27,000000000
0,001155600	26,000000000
0,001155920	24,000000000
0,001156240	23,000000000
